host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
50%,100%,1,16,Shared room,1,0.5,16,10,$5.00 ,$0.00 ,1,2,0,38.96044475,-77.00875613,Washington,20011,DC
96%,88%,3,1,Shared room,1,1,1,20,$0.00 ,$0.00 ,2,14,1,38.87597988,-76.9620601,Washington,20019,DC
96%,88%,3,1,Shared room,1,2,1,20,$0.00 ,$0.00 ,1,14,13,38.8762203,-76.96375087,"Washington, D.C.",20019,DC
100%,100%,1,1,Private room,1,1,1,23,$5.00 ,$0.00 ,1,1125,1,38.96183848,-76.99393298,Hyattsville,20782,MD
100%,100%,2,1,Shared room,1,1,1,23,$0.00 ,$0.00 ,7,1125,11,38.91774515,-77.0154955,Washington,20001,DC
100%,100%,1,2,Shared room,1,1,1,25,$0.00 ,$0.00 ,1,1125,1,38.91679937,-77.0424461,Washington,20009,DC
100%,100%,2,1,Shared room,1,1,1,25,$0.00 ,$0.00 ,7,1125,2,38.91917741,-77.01395727,Washington,20001,DC
100%,0%,1,1,Shared room,1,1,1,25,$0.00 ,$0.00 ,1,1125,1,38.93253196,-77.02651328,Washington,20010,DC
0%,0%,1,2,Private room,1,1,1,28,$50.00 ,$0.00 ,3,1125,1,38.86422225,-76.96571296,Washington,20020,DC
85%,79%,19,1,Shared room,1,1,1,28,$0.00 ,$0.00 ,3,120,0,38.91986489,-77.01425958,Washington,20001,DC
0%,0%,1,1,Shared room,1,1,1,30,$5.00 ,$0.00 ,1,1,1,38.90203589,-76.98055774,Washington,20002,DC
85%,79%,19,1,Private room,1,4,1,30,$15.00 ,$0.00 ,4,365,4,38.93815045,-77.02377943,Washington,20010,DC
90%,92%,2,2,Private room,1,1,1,30,$15.00 ,$100.00 ,1,1125,2,38.94819587,-77.0805032,Washington,20016,DC
100%,100%,1,2,Private room,1,1,1,30,$25.00 ,$0.00 ,2,1125,4,38.95469529,-76.99007179,Washington,20011,DC
90%,67%,1,2,Private room,1,1,1,30,$30.00 ,$300.00 ,2,28,0,38.93302867,-77.02614051,Washington,20010,DC
100%,82%,1,1,Private room,1,1,1,31,$0.00 ,$0.00 ,1,6,3,38.93631455,-77.02257643,Washington,20010,DC
85%,79%,19,1,Private room,1,2,1,32,$0.00 ,$0.00 ,5,1125,1,38.91973591,-77.0156382,Washington,20001,DC
85%,79%,19,1,Private room,1,2.5,1,32,$20.00 ,$0.00 ,4,365,1,38.9383994,-77.0236338,Washington,20010,DC
91%,95%,4,1,Private room,1,2,1,33,$0.00 ,$100.00 ,1,1125,10,38.90501057,-76.9413193,Washington,20019,DC
91%,95%,4,2,Private room,1,1,2,33,$0.00 ,$100.00 ,1,1125,34,38.90678685,-76.9424764,Washington,20019,DC
95%,96%,3,1,Private room,1,1,1,34,$60.00 ,$500.00 ,1,1125,0,38.90162682,-76.97426362,Washington,20002,DC
100%,0%,1,2,Shared room,1,1,1,34,$0.00 ,$0.00 ,1,1125,0,38.9187723,-77.03243862,Washington,20009,DC
100%,80%,1,2,Shared room,1,1,1,34,$0.00 ,$0.00 ,1,3,1,38.93697713,-77.02406481,Washington,20011,DC
100%,100%,5,1,Private room,1,1,1,35,$25.00 ,$0.00 ,1,1125,0,38.84824335,-76.99924952,Washington,20032,DC
85%,79%,19,1,Private room,1,2,1,35,$15.00 ,$0.00 ,5,365,3,38.91953425,-77.0157162,"Washington, D.C.",20001,DC
90%,100%,1,2,Shared room,1,1,1,35,$0.00 ,$0.00 ,1,1125,17,38.94461548,-77.02472332,Washington,20011,DC
96%,91%,3,2,Shared room,1,1,1,35,$0.00 ,$0.00 ,1,1125,24,38.99297918,-77.03780219,Silver Spring,20910,MD
100%,100%,3,1,Private room,1,1,1,35,$20.00 ,$0.00 ,1,1125,8,38.89265891,-76.98084854,Washington,20002,DC
100%,100%,3,1,Private room,1,1,1,35,$20.00 ,$0.00 ,1,730,1,38.89301986,-76.98013562,Washington,20002,DC
100%,100%,6,1,Private room,1,1,1,35,$30.00 ,$100.00 ,15,1125,9,38.93668984,-77.01995424,Washington,20010,DC
0%,0%,1,3,Private room,1,1,2,35,$5.00 ,$0.00 ,1,1125,0,38.93499344,-77.08443313,Washington ,20016,DC
84%,92%,3,1,Shared room,1,1,1,36,$0.00 ,$0.00 ,1,1125,30,38.90060936,-77.05088432,Washington,20037,DC
100%,97%,3,6,Shared room,1,1,6,36,$0.00 ,$0.00 ,1,1125,11,38.91191827,-77.0219052,Washington,20001,DC
99%,100%,3,6,Shared room,1,4,4,36,$0.00 ,$0.00 ,2,14,2,38.91405295,-77.04342655,Washington,20009,DC
99%,100%,3,6,Shared room,1,4,6,36,$0.00 ,$0.00 ,2,30,7,38.91554933,-77.04303643,Washington,20009,DC
99%,100%,3,6,Shared room,1,2.5,6,36,$0.00 ,$0.00 ,2,30,7,38.91525145,-77.0417714,Washington,20009,DC
63%,100%,1,2,Private room,1,1,1,37,$25.00 ,$95.00 ,2,1125,7,38.96726971,-77.0241376,Washington,20011,DC
94%,99%,8,2,Private room,1,1.5,1,38,$0.00 ,$0.00 ,2,180,1,38.88010496,-76.91903054,Capitol Heights,20743,MD
